Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C23,C24,C25,C26
0,1,1,5.0,0.0,1382.0,4.0,15.0,2.0,181.0,1,2,2.0,33,126,1274,512,1,3,1021,5,1,579,648,250,124,3,445,642,8,510,22,3,39,1,585,27,320
0,2,0,44.0,1.0,102.0,8.0,2.0,2.0,4.0,1,1,4.0,33,238,580,272,1,6,672,2,1,142,282,441,675,13,748,925,0,364,22,0,478,1,193,27,243
0,2,0,1.0,14.0,767.0,89.0,4.0,2.0,245.0,1,3,45.0,9,13,20,819,1,3,917,2,1,194,336,679,535,2,365,244,6,114,123,1,1094,1,162,19,356
0,47,893,33.079354838709676,8.062697910069664,4392.0,146.92563081009297,0.0,0.0,0.0,5,0,11.784673844205193,33,42,879,194,1,6,233,2,1,849,822,781,160,2,85,382,1,240,123,1,534,1,436,19,356
0,3,-1,33.079354838709676,0.0,2.0,0.0,3.0,0.0,0.0,1,1,0.0,43,174,1026,1015,1,0,806,2,1,288,824,472,771,3,459,0,1,86,123,1,146,0,547,19,356
0,47,-1,33.079354838709676,8.062697910069664,12824.0,146.92563081009297,0.0,0.0,6.0,5,0,11.784673844205193,0,105,210,362,9,2,398,2,1,194,533,918,500,2,25,723,5,299,123,1,159,8,336,19,356
0,47,1,2.0,8.062697910069664,3168.0,146.92563081009297,0.0,1.0,2.0,5,0,11.784673844205193,19,172,989,878,9,6,364,2,1,194,604,82,368,2,801,815,5,436,123,1,138,5,69,19,356
1,1,4,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.0,33,42,425,947,29,0,282,5,1,294,677,430,216,2,85,1050,8,240,123,1,402,0,436,19,356
0,47,44,4.0,8.0,19010.0,249.0,28.0,31.0,141.0,5,1,8.0,0,215,1070,819,1,3,985,2,1,138,31,1078,202,13,733,621,8,143,123,1,1,0,162,19,356
0,47,35,33.079354838709676,1.0,33737.0,21.0,1.0,2.0,3.0,5,1,1.0,0,79,1072,973,1,4,395,2,1,5,822,710,160,2,145,666,7,233,123,1,65,0,43,19,356
0,47,2,632.0,0.0,56770.0,146.92563081009297,0.0,5.0,65.0,5,0,2.0,0,4,646,533,1,3,23,2,0,194,463,998,448,13,298,91,5,22,22,0,968,1,615,28,339
0,0,6,6.0,6.0,421.0,109.0,1.0,7.0,107.0,0,1,6.0,0,157,839,677,11,4,89,2,1,194,630,764,344,2,396,743,7,287,123,1,784,0,479,19,356
1,0,-1,33.079354838709676,8.062697910069664,1465.0,0.0,17.0,0.0,4.0,0,4,11.784673844205193,7,51,1268,435,1,6,147,5,1,823,419,142,282,2,270,1128,8,487,123,1,1154,0,547,19,356
1,47,2,11.0,5.0,10262.0,34.0,2.0,4.0,5.0,5,1,5.0,56,37,1052,1026,1,4,504,10,1,211,316,723,355,3,169,23,0,285,11,2,789,0,480,17,288
0,0,51,84.0,4.0,3633.0,26.0,1.0,4.0,8.0,0,1,4.0,26,126,794,394,0,0,724,2,1,101,654,21,537,3,34,191,4,39,22,3,1175,11,429,27,441
0,47,2,1.0,18.0,20255.0,146.92563081009297,0.0,1.0,1306.0,5,0,20.0,0,187,543,865,11,3,933,19,1,194,586,900,110,7,694,63,5,126,123,1,871,1,114,19,356
1,1,987,33.079354838709676,2.0,105.0,2.0,1.0,2.0,2.0,1,1,2.0,33,52,1128,282,9,3,304,2,1,194,214,488,459,2,772,204,7,181,22,3,287,0,542,0,378
0,0,1,33.079354838709676,0.0,16597.0,557.0,3.0,5.0,123.0,0,1,1.0,43,123,633,872,11,5,662,2,1,2,191,760,205,13,426,216,8,441,123,1,1062,0,531,19,356
0,0,24,4.0,2.0,2056.0,12.0,6.0,10.0,83.0,0,1,2.0,0,238,49,854,7,5,598,11,1,76,658,119,102,3,291,51,8,364,22,3,1153,0,222,28,317
0,7,102,33.079354838709676,3.0,780.0,15.0,7.0,15.0,15.0,1,1,3.0,17,176,313,97,11,0,5,2,1,342,508,463,823,12,132,1137,8,198,123,1,1069,9,208,19,356
1,47,47,33.079354838709676,0.0,6399.0,38.0,19.0,10.0,143.0,5,10,6.0,4,51,186,848,1,3,492,17,1,194,483,86,145,3,44,447,8,61,123,1,1056,0,663,19,356
