,Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,Set,Title,familyType
0,0.0,3,male,22.0,7.25,U,S,train, Mr,Small_Family
1,1.0,1,female,38.0,71.2833,C,C,train, Mrs,Small_Family
2,1.0,3,female,26.0,7.925,U,S,train, Miss,Single
3,1.0,1,female,35.0,53.1,C,S,train, Mrs,Small_Family
4,0.0,3,male,35.0,8.05,U,S,train, Mr,Single
5,0.0,3,male,29.881137667304014,8.4583,U,Q,train, Mr,Single
6,0.0,1,male,54.0,51.8625,E,S,train, Mr,Single
7,0.0,3,male,2.0,21.075,U,S,train, Master,Single
8,1.0,3,female,27.0,11.1333,U,S,valid, Mrs,Small_Family
9,1.0,2,female,14.0,30.0708,U,C,train, Mrs,Small_Family
10,1.0,3,female,4.0,16.7,G,S,train, Miss,Small_Family
11,1.0,1,female,58.0,26.55,C,S,train, Miss,Single
12,0.0,3,male,20.0,8.05,U,S,train, Mr,Single
13,0.0,3,male,39.0,31.275,U,S,valid, Mr,Large_Family
14,0.0,3,female,14.0,7.8542,U,S,train, Miss,Single
15,1.0,2,female,55.0,16.0,U,S,train, Mrs,Single
16,0.0,3,male,2.0,29.125,U,Q,train, Master,Large_Family
17,1.0,2,male,29.881137667304014,13.0,U,S,train, Mr,Single
18,0.0,3,female,31.0,18.0,U,S,train, Mrs,Small_Family
19,1.0,3,female,29.881137667304014,7.225,U,C,train, Mrs,Single
20,0.0,2,male,35.0,26.0,U,S,valid, Mr,Single
21,1.0,2,male,34.0,13.0,D,S,train, Mr,Single
22,1.0,3,female,15.0,8.0292,U,Q,train, Miss,Single
23,1.0,1,male,28.0,35.5,A,S,train, Mr,Single
24,0.0,3,female,8.0,21.075,U,S,train, Miss,Single
25,1.0,3,female,38.0,31.3875,U,S,train, Mrs,Large_Family
26,0.0,3,male,29.881137667304014,7.225,U,C,train, Mr,Single
27,0.0,1,male,19.0,263.0,C,S,valid, Mr,Large_Family
28,1.0,3,female,29.881137667304014,7.8792,U,Q,train, Miss,Single
29,0.0,3,male,29.881137667304014,7.8958,U,S,train, Mr,Single
30,0.0,1,male,40.0,27.7208,U,C,train, Don,Single
31,1.0,1,female,29.881137667304014,146.5208,B,C,train, Mrs,Small_Family
32,1.0,3,female,29.881137667304014,7.75,U,Q,train, Miss,Single
33,0.0,2,male,66.0,10.5,U,S,train, Mr,Single
34,0.0,1,male,28.0,82.1708,U,C,train, Mr,Small_Family
35,0.0,1,male,42.0,52.0,U,S,train, Mr,Small_Family
36,1.0,3,male,29.881137667304014,7.2292,U,C,train, Mr,Single
37,0.0,3,male,21.0,8.05,U,S,train, Mr,Single
38,0.0,3,female,18.0,18.0,U,S,valid, Miss,Small_Family
39,1.0,3,female,14.0,11.2417,U,C,train, Miss,Small_Family
40,0.0,3,female,40.0,9.475,U,S,train, Mrs,Small_Family
41,0.0,2,female,27.0,21.0,U,S,train, Mrs,Small_Family
42,0.0,3,male,29.881137667304014,7.8958,U,C,train, Mr,Single
43,1.0,2,female,3.0,41.5792,U,C,train, Miss,Small_Family
44,1.0,3,female,19.0,7.8792,U,Q,train, Miss,Single
45,0.0,3,male,29.881137667304014,8.05,U,S,train, Mr,Single
46,0.0,3,male,29.881137667304014,15.5,U,Q,train, Mr,Small_Family
47,1.0,3,female,29.881137667304014,7.75,U,Q,train, Miss,Single
48,0.0,3,male,29.881137667304014,21.6792,U,C,train, Mr,Small_Family
49,0.0,3,female,18.0,17.8,U,S,train, Mrs,Small_Family
